colormap,currentOffsets,exp_distance
Hue-7 with Wave-4,34.43578094,0.25
Hue-7 with Wave-7,34.43578094,0.35
Hue-3 with Wave-4,17.92956813,0.2
Hue-5 with Wave-2,14.07928766,0.2
Hue-5 with Wave-7,14.07928766,0.1
Hue-7 with Wave-2,9.053025521,0.25
Hue-7 with Wave-6,9.053025521,0.35
Hue-3 with Wave-0,21.59433764,0.3
Hue-3 with Wave-3,21.59433764,0.35
Hue-5 with Wave-8,50.67447805,0.15
Hue-7 with Wave-3,21.42119338,0.15
Hue-7 with Wave-7,21.42119338,0.2
