age,blockNum,center,colormap,completionCode,correct,correlation,currentOffsets,distance,education,engagementCorrect,gender,generationTime,modelChoice,noiseAmplitude,noisePerturb,noisePerturbCount,prolificId,responseTime,selectedDecoyType,selection,stimulusCorrect,stimulusNum,trialNum,vis,subjectid
35-44,13,0.098716,Hue-3 with Wave-4,,1,0,0.7178951735859784,0.0713588758407002,high_school,3,male,1017,2,1.1,1.9,1,5a381de00006450001bf2691,3578,1,2,75,26,2,fieldSmooth,1
35-44,15,0.098716,Hue-7 with Wave-3,,1,0,48.9271395181075,0.0930887882851698,high_school,3,male,1873,2,1.1,1.9,1,5a381de00006450001bf2691,12521,1,4,75,27,1,fieldSmooth,1
35-44,15,0.098716,Hue-7 with Wave-3,,1,0,48.9271395181075,0.052030554505982,high_school,3,male,1070,2,1.1,1.9,1,5a381de00006450001bf2691,14696,1,2,75,28,2,fieldSmooth,1
35-44,16,0.098716,Hue-5 with Wave-0,,1,0,43.48809406996964,0.0721268321988787,high_school,3,male,2047,2,1.1,1.9,1,5a381de00006450001bf2691,8224,1,5,75,29,1,fieldSmooth,1
35-44,16,0.098716,Hue-5 with Wave-0,,1,0,43.48809406996964,0.1029469100382042,high_school,3,male,870,2,1.1,1.9,1,5a381de00006450001bf2691,27808,1,1,75,30,2,fieldSmooth,1
35-44,17,0.098716,Hue-3 with Wave-1,,1,0,0.7178951735859784,0.0458709431485987,high_school,3,male,2213,2,1.1,1.9,1,5a381de00006450001bf2691,3853,1,2,75,31,1,fieldSmooth,1
35-44,17,0.098716,Hue-3 with Wave-1,,1,0,0.7178951735859784,0.069299233296103,high_school,3,male,987,2,1.1,1.9,1,5a381de00006450001bf2691,6057,1,5,75,32,2,fieldSmooth,1
35-44,19,0.098716,Hue-3 with Wave-7,,1,0,0.7178951735859784,0.063399888073667,high_school,3,male,1957,2,1.1,1.9,1,5a381de00006450001bf2691,10273,1,6,75,33,1,fieldSmooth,1
35-44,19,0.098716,Hue-3 with Wave-7,,1,0,0.7178951735859784,0.1162854039803736,high_school,3,male,1009,2,1.1,1.9,1,5a381de00006450001bf2691,6899,1,1,75,34,2,fieldSmooth,1
35-44,20,0.098716,Hue-3 with Wave-9,,1,0,0.7178951735859784,0.0695058443488073,high_school,3,male,1921,2,1.1,1.9,1,5a381de00006450001bf2691,5003,1,6,75,35,1,fieldSmooth,1
35-44,20,0.098716,Hue-3 with Wave-9,,1,0,0.7178951735859784,0.0536535817220095,high_school,3,male,1085,1,1.1,1.9,1,5a381de00006450001bf2691,6755,0,5,75,36,2,fieldSmooth,1
35-44,21,0.098716,Hue-0 with Wave-1,,1,0,0.0,0.0832890278909509,high_school,3,male,1934,2,1.1,1.9,1,5a381de00006450001bf2691,3409,1,3,75,37,1,fieldSmooth,1
35-44,21,0.098716,Hue-0 with Wave-1,,1,0,0.0,0.116996897921609,high_school,3,male,901,1,1.1,1.9,1,5a381de00006450001bf2691,11199,0,1,75,38,2,fieldSmooth,1
35-44,22,0.098716,Hue-0 with Wave-6,,1,0,0.0,0.1212070131304198,high_school,3,male,2137,1,1.1,1.9,1,5a381de00006450001bf2691,10548,0,3,75,39,1,fieldSmooth,1
